Run,Iteration,Measure,Measure Name
0,0,14374.679981988458,Auction Revenue
0,1,6843.085405189382,Auction Revenue
0,2,4590.6769010232565,Auction Revenue
0,3,4853.985213447856,Auction Revenue
0,4,4609.3680021835635,Auction Revenue
0,5,4126.668131474818,Auction Revenue
0,6,4163.931119343027,Auction Revenue
0,7,4204.3744232273575,Auction Revenue
0,8,4267.839589832255,Auction Revenue
0,9,3830.7816779496793,Auction Revenue
1,0,11553.899030865416,Auction Revenue
1,1,6488.431470428049,Auction Revenue
1,2,5143.680362984056,Auction Revenue
1,3,4447.371431442987,Auction Revenue
1,4,5002.350449414685,Auction Revenue
1,5,4865.515412857936,Auction Revenue
1,6,5078.205478771951,Auction Revenue
1,7,4916.185567412899,Auction Revenue
1,8,4958.955371934535,Auction Revenue
1,9,4800.68836856268,Auction Revenue
2,0,13018.675752472143,Auction Revenue
2,1,6416.603085412495,Auction Revenue
2,2,5971.731430371325,Auction Revenue
2,3,4757.218200842944,Auction Revenue
2,4,4368.315450928272,Auction Revenue
2,5,4296.749268780973,Auction Revenue
2,6,4393.137545869966,Auction Revenue
2,7,4464.061980690071,Auction Revenue
2,8,4470.909169391755,Auction Revenue
2,9,4549.461083773681,Auction Revenue
3,0,12196.974507977342,Auction Revenue
3,1,5499.644002157454,Auction Revenue
3,2,5539.114877227517,Auction Revenue
3,3,4160.373339052198,Auction Revenue
3,4,4208.219659906347,Auction Revenue
3,5,4312.320753692591,Auction Revenue
3,6,4335.678232273765,Auction Revenue
3,7,4302.32143382269,Auction Revenue
3,8,4301.709701936834,Auction Revenue
3,9,4257.626215870054,Auction Revenue
4,0,12800.201166446375,Auction Revenue
4,1,6742.958625760192,Auction Revenue
4,2,4444.341440153377,Auction Revenue
4,3,4114.504604513039,Auction Revenue
4,4,3632.260084061403,Auction Revenue
4,5,3481.2820451607154,Auction Revenue
4,6,3560.568088120353,Auction Revenue
4,7,3536.8631123748287,Auction Revenue
4,8,3689.120437473612,Auction Revenue
4,9,3925.388318555285,Auction Revenue
0,0,-12570.848167917105,Social Surplus
0,1,-4752.963467978475,Social Surplus
0,2,307.65523830091263,Social Surplus
0,3,475.4855956107657,Social Surplus
0,4,652.1256459131938,Social Surplus
0,5,1296.0599302010144,Social Surplus
0,6,1222.8988998542595,Social Surplus
0,7,1131.5681346920414,Social Surplus
0,8,1080.4675372503611,Social Surplus
0,9,1435.9958137659905,Social Surplus
1,0,-9746.842831573787,Social Surplus
1,1,-4173.262174076688,Social Surplus
1,2,-246.2696840703431,Social Surplus
1,3,692.9933396345502,Social Surplus
1,4,201.58440233289048,Social Surplus
1,5,424.74227283141266,Social Surplus
1,6,198.8284297308581,Social Surplus
1,7,559.49079343302,Social Surplus
1,8,317.96222800169807,Social Surplus
1,9,587.3103278593334,Social Surplus
2,0,-10933.600569600472,Social Surplus
2,1,-4007.2334737165847,Social Surplus
2,2,-2552.3211741042896,Social Surplus
2,3,-391.7028747977202,Social Surplus
2,4,768.7031065981915,Social Surplus
2,5,966.4168078198804,Social Surplus
2,6,919.3270035755478,Social Surplus
2,7,806.5574630353251,Social Surplus
2,8,932.8549171757501,Social Surplus
2,9,813.7471268348322,Social Surplus
3,0,-10478.589381644559,Social Surplus
3,1,-2600.526205394164,Social Surplus
3,2,-2227.2716001391236,Social Surplus
3,3,1121.1092189446367,Social Surplus
3,4,1055.599478990017,Social Surplus
3,5,1025.2975665330714,Social Surplus
3,6,902.5047732169133,Social Surplus
3,7,998.5752680697678,Social Surplus
3,8,1025.8671901479186,Social Surplus
3,9,1039.7816261424277,Social Surplus
4,0,-11412.212666677657,Social Surplus
4,1,-4386.098494458843,Social Surplus
4,2,102.73844361323222,Social Surplus
4,3,831.3385176144625,Social Surplus
4,4,1568.1573014924797,Social Surplus
4,5,1754.7139092251318,Social Surplus
4,6,1694.5721022659513,Social Surplus
4,7,1768.961769611023,Social Surplus
4,8,1642.5426005888407,Social Surplus
4,9,1533.5740129936912,Social Surplus
0,0,1803.8318140713995,Social Welfare
0,1,2090.1219372109445,Social Welfare
0,2,4898.332139324164,Social Welfare
0,3,5329.470809058605,Social Welfare
0,4,5261.493648096736,Social Welfare
0,5,5422.728061675814,Social Welfare
0,6,5386.830019197261,Social Welfare
0,7,5335.942557919383,Social Welfare
0,8,5348.307127082605,Social Welfare
0,9,5266.77749171566,Social Welfare
1,0,1807.0561992916896,Social Welfare
1,1,2315.169296351367,Social Welfare
1,2,4897.410678913702,Social Welfare
1,3,5140.3647710775385,Social Welfare
1,4,5203.934851747552,Social Welfare
1,5,5290.257685689321,Social Welfare
1,6,5277.033908502801,Social Welfare
1,7,5475.676360845899,Social Welfare
1,8,5276.9175999362105,Social Welfare
1,9,5387.998696422006,Social Welfare
2,0,2085.0751828717584,Social Welfare
2,1,2409.369611695884,Social Welfare
2,2,3419.410256267018,Social Welfare
2,3,4365.5153260452125,Social Welfare
2,4,5137.018557526421,Social Welfare
2,5,5263.166076600811,Social Welfare
2,6,5312.464549445495,Social Welfare
2,7,5270.619443725383,Social Welfare
2,8,5403.764086567482,Social Welfare
2,9,5363.208210608492,Social Welfare
3,0,1718.385126332766,Social Welfare
3,1,2899.1177967632875,Social Welfare
3,2,3311.8432770883646,Social Welfare
3,3,5281.482557996813,Social Welfare
3,4,5263.819138896367,Social Welfare
3,5,5337.618320225645,Social Welfare
3,6,5238.183005490651,Social Welfare
3,7,5300.89670189243,Social Welfare
3,8,5327.576892084745,Social Welfare
3,9,5297.40784201246,Social Welfare
4,0,1387.9884997687254,Social Welfare
4,1,2356.860131301354,Social Welfare
4,2,4547.079883766606,Social Welfare
4,3,4945.843122127515,Social Welfare
4,4,5200.4173855538975,Social Welfare
4,5,5235.995954385864,Social Welfare
4,6,5255.140190386315,Social Welfare
4,7,5305.824881985856,Social Welfare
4,8,5331.663038062463,Social Welfare
4,9,5458.962331548973,Social Welfare
